"","Codigo","Tipo de Adquisicion","Estado","Nombre Organismo","Region Unidad","Codigo Moneda","Fecha Creacion","Fecha Publicacion","Fecha Adjudicacion","Fuente Financiamiento","Descripcion linea Adquisicion","Descripcion Proveedor","Unidad Medida","Nombre Proveedor","Estado Oferta","Cantidad Ofertada","Moneda de la Oferta","Monto Unitario Oferta","Valor Total Ofertado","Cantidad Adjudicada","Monto Linea Adjudica","Fecha Envio Oferta","Oferta seleccionada","CHL-USD","Monto Unitario Oferta USD","Monto Linea Adjudica USD","Valor Total Ofertado USD","Tipo de Institucion"
"11","8645845","Licitación Pública Entre 100 y 1000 UTM (LE)","8","I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ","Región del Biobío","CLP","2020-01-23","2020-01-31","2020-03-03",NA,"Forxiga 10 mg caja x 28 com. (o equivalente)","DPGL0010COMP. FORXIGA 10MG X 28 COMP.REC.. ASTRA ZENECA. DAPAGLIFOZINA. REG ISP F-20505 - VTO SUPERIOR A 12 MESES Entrega en 48 horas. Se adjunta CANJE . Validez de la oferta 60 días. Sin costo por flete. Monto mínimo de despacho 50.000.
","Unidad","ETHON PHARMACEUTICALS SPA.","Aceptada","40","Peso Chileno","29104","1164160","0","0","2020-02-14","No Seleccionada",840.868636363636,34.6118272716904,0,1384.47309086762,"Municipalidad"
"12","8604485","Licitación Pública entre a 2000 y 5000 UTM (LQ)","9","SERVICIO DE SALUD CONCEPCION ARAUCO CONS","Región del Biobío","CLP","2019-10-27","2020-01-08","2020-04-24","FONDOS OPERACIONALES DEL CESFAM DR. VMF","Glibenclamida 5 mg CM ( Consumo Prom. Mens: 20.000 )

","MIN0286 GLIBENCLAMIDA 5MG X 1005 COMP. BE. B  Entrega 24-48 HR GLIBENCLAMIDA F-986 MINTLAB  VENC. 28-02-2023","Comprimido","Caribean Pharma Ltda","Aceptada","1","Peso Chileno","8.26","8.26","0","0","2020-01-23","No Seleccionada",852.250454545455,0.00969198661725026,0,0.00969198661725026,"Servicio de Salud"
"13","8604485","Licitación Pública entre a 2000 y 5000 UTM (LQ)","9","SERVICIO DE SALUD CONCEPCION ARAUCO CONS","Región del Biobío","CLP","2019-10-27","2020-01-08","2020-04-24","FONDOS OPERACIONALES DEL CESFAM DR. VMF","Glibenclamida 5 mg CM ( Consumo Prom. Mens: 20.000 )

","GLBN0005COMP. BEGLIBENCLAMIDA 5MG X 1000 COMP.. MINTLAB. GLIBENCLAMIDA. REG ISP F-9896 -  - 
Vencimiento superior a 12 meses
Vigencia de la Oferta 90 días","Comprimido","ETHON PHARMACEUTICALS SPA.","Aceptada","1","Peso Chileno","8.4","8.4","0","0","2020-01-24","No Seleccionada",852.250454545455,0.00985625757686467,0,0.00985625757686467,"Servicio de Salud"
"14","8604485","Licitación Pública entre a 2000 y 5000 UTM (LQ)","9","SERVICIO DE SALUD CONCEPCION ARAUCO CONS","Región del Biobío","CLP","2019-10-27","2020-01-08","2020-04-24","FONDOS OPERACIONALES DEL CESFAM DR. VMF","Glibenclamida 5 mg CM ( Consumo Prom. Mens: 20.000 )

","GLIBENCLAMIDA 5MG 60C BE
Bioequivalente","Comprimido","LABORATORIO CHILE S.A.","Aceptada","1","Peso Chileno","6","6","0","0","2020-01-24","No Seleccionada",852.250454545455,0.00704018398347476,0,0.00704018398347476,"Servicio de Salud"
"15","8604485","Licitación Pública entre a 2000 y 5000 UTM (LQ)","9","SERVICIO DE SALUD CONCEPCION ARAUCO CONS","Región del Biobío","CLP","2019-10-27","2020-01-08","2020-04-24","FONDOS OPERACIONALES DEL CESFAM DR. VMF","Glibenclamida 5 mg CM ( Consumo Prom. Mens: 20.000 )

","GLIBENCLAMIDA 5 MG CM. CAJAX1000. LAB ANDROMACO. REG ISP F-2414-19. VENCE 30-04-2022. BIOEQUIVALENTE. ENTREGA EN 2 DÍAS. SE ADJUNTAN FICHAS TÉCNICAS E INFORMACIÓN CORPORATIVA.","Comprimido","WINPHARM","Aceptada","1","Peso Chileno","10","10","0","0","2020-01-23","No Seleccionada",852.250454545455,0.0117336399724579,0,0.0117336399724579,"Servicio de Salud"
"16","8604485","Licitación Pública entre a 2000 y 5000 UTM (LQ)","9","SERVICIO DE SALUD CONCEPCION ARAUCO CONS","Región del Biobío","CLP","2019-10-27","2020-01-08","2020-04-24","FONDOS OPERACIONALES DEL CESFAM DR. VMF","Glibenclamida 5 mg CM ( Consumo Prom. Mens: 20.000 )

","22100219 GLIBENCLAMIDA COM 5 MG - CAJA X 1000 COM - BIOEQUIVALENTE., CAJA X 1000, REGISTRO ISP F-2414/19, FECHA DE VENCIMIENTO 31-08-2022, DESPACHO EN 48 HRS","Comprimido","LABORATORIOS ANDROMACO S.A.","Aceptada","1","Peso Chileno","6.16","6.16","1","6.16","2020-01-23","Seleccionada",852.250454545455,0.00722792222303409,0.00722792222303409,0.00722792222303409,"Servicio de Salud"
"17","8604485","Licitación Pública entre a 2000 y 5000 UTM (LQ)","9","SERVICIO DE SALUD CONCEPCION ARAUCO CONS","Región del Biobío","CLP","2019-10-27","2020-01-08","2020-04-24","FONDOS OPERACIONALES DEL CESFAM DR. VMF","Metformina 500 mg + Glibenclamida 5 mg    ( Consumo Prom. Mens: 20.000 )

","Metformina 500 mg + glibenclamida 5 mg comp. - Glifortex G - andromaco x 1.000- vence desde Julio 2021
","Comprimido","SOCOSEP SA","Aceptada","1","Peso Chileno","40.5","40.5","0","0","2020-01-24","No Seleccionada",852.250454545455,0.0475212418884547,0,0.0475212418884547,"Servicio de Salud"
"18","8604485","Licitación Pública entre a 2000 y 5000 UTM (LQ)","9","SERVICIO DE SALUD CONCEPCION ARAUCO CONS","Región del Biobío","CLP","2019-10-27","2020-01-08","2020-04-24","FONDOS OPERACIONALES DEL CESFAM DR. VMF","Metformina 500 mg + Glibenclamida 5 mg    ( Consumo Prom. Mens: 20.000 )

","22100127 GLIFORTEX G COM RECUBIERTO - METFORMINA CLORHIDRATO 500 MG / GLIBENCLAMIDA 5 MG - CAJA X 1000 COM., CAJA X 1000, REGISTRO ISP F-12968/18, FECHA DE VENCIMIENTO 30-09-2021, DESPACHO EN 48 HRS","Comprimido","LABORATORIOS ANDROMACO S.A.","Aceptada","1","Peso Chileno","26.4","26.4","1","26.4","2020-01-23","Seleccionada",852.250454545455,0.030976809527289,0.030976809527289,0.030976809527289,"Servicio de Salud"
"19","8604485","Licitación Pública entre a 2000 y 5000 UTM (LQ)","9","SERVICIO DE SALUD CONCEPCION ARAUCO CONS","Región del Biobío","CLP","2019-10-27","2020-01-08","2020-04-24","FONDOS OPERACIONALES DEL CESFAM DR. VMF","Metformina 500 mg + Glibenclamida 5 mg    ( Consumo Prom. Mens: 20.000 )

","AND0230 GLIFORTEX-G 500-5MG EN CAJA DE 1000 COMP REC Entrega 24-48 HR METFORMINA+GLIBENCLAMIDA F-12968 ANDROMACO    VEN:30-03-21","Comprimido","Caribean Pharma Ltda","Aceptada","1","Peso Chileno","36","36","0","0","2020-01-23","No Seleccionada",852.250454545455,0.0422411039008486,0,0.0422411039008486,"Servicio de Salud"
"20","8604485","Licitación Pública entre a 2000 y 5000 UTM (LQ)","9","SERVICIO DE SALUD CONCEPCION ARAUCO CONS","Región del Biobío","CLP","2019-10-27","2020-01-08","2020-04-24","FONDOS OPERACIONALES DEL CESFAM DR. VMF","Metformina 500 mg + Glibenclamida 5 mg    ( Consumo Prom. Mens: 20.000 )

","MT500.5COMP. GLUKAUT 5005 MG X 60 COMP. REC.. SANITAS. METFORMINAGLIBENCLAMIDA. REG ISP F-14331 - VTO 7-2021 - LOTE 0726118
Vigencia de la Oferta 90 días","Comprimido","ETHON PHARMACEUTICALS SPA.","Aceptada","1","Peso Chileno","55.4","55.4","0","0","2020-01-24","No Seleccionada",852.250454545455,0.065004365447417,0,0.065004365447417,"Servicio de Salud"
"21","8623465","Licitación Pública entre a 2000 y 5000 UTM (LQ)","8","DIRECCION SERVICIO SALUD METROPOLITANO O","Región Metropolitana de Santiago","CLP","2019-12-05","2020-01-07","2020-07-31",NA,"Glibenclamida 5mg","GLIBENCLAMIDA 5 MG CM. CAJAX1000. LAB ANDROMACO. REG ISP F-2414-19. VENCE 30-04-2022. BIOEQUIVALENTE. ENTREGA EN 1 DÍA. SE ADJUNTAN FICHAS TÉCNICAS E INFORMACIÓN CORPORATIVA.","Comprimido","WINPHARM","Aceptada","353000","Peso Chileno","8","2824000","0","0","2020-01-27","No Seleccionada",782.394347826087,0.01022502274234,0,3609.43302804601,"Servicio de Salud"
"22","8623465","Licitación Pública entre a 2000 y 5000 UTM (LQ)","8","DIRECCION SERVICIO SALUD METROPOLITANO O","Región Metropolitana de Santiago","CLP","2019-12-05","2020-01-07","2020-07-31",NA,"Glibenclamida 5mg","22100219 GLIBENCLAMIDA COM 5 MG - CAJA X 1000 COM - BIOEQUIVALENTE., CAJA X 1000, REGISTRO ISP F-2414/19, FECHA DE VENCIMIENTO 31-08-2022, DESPACHO EN 24 HRS","Comprimido","LABORATORIOS ANDROMACO S.A.","Aceptada","353000","Peso Chileno","6.16","2174480","0","0","2020-01-23","No Seleccionada",782.394347826087,0.00787326751160179,0,2779.26343159543,"Servicio de Salud"
"23","8623465","Licitación Pública entre a 2000 y 5000 UTM (LQ)","8","DIRECCION SERVICIO SALUD METROPOLITANO O","Región Metropolitana de Santiago","CLP","2019-12-05","2020-01-07","2020-07-31",NA,"Glibenclamida 5mg","GLBN0005COMP. BEGLIBENCLAMIDA 5MG X 1000 COMP.. MINTLAB. GLIBENCLAMIDA. REG ISP F-9896 VTO SUPERIOR A 12 MESES 
Entrega en 1 DÍA. Se adjunta ISP, CANJE y anexos técnicos. Sin costo por flete.Sin Monto Mínimo de Despacho.
","Comprimido","ETHON PHARMACEUTICALS SPA.","Aceptada","353000","Peso Chileno","8.4","2965200","0","0","2020-01-27","No Seleccionada",782.394347826087,0.010736273879457,0,3789.90467944832,"Servicio de Salud"
"24","8623465","Licitación Pública entre a 2000 y 5000 UTM (LQ)","8","DIRECCION SERVICIO SALUD METROPOLITANO O","Región Metropolitana de Santiago","CLP","2019-12-05","2020-01-07","2020-07-31",NA,"Glibenclamida 5mg","120-10-12041	GLIBENCLAMIDA 5MG 60C; VENCE: AGOST22; SE ADJUNTA DOCUMENTACION TECNICA, CERTIFICADO DE FARMACOVIGILANCIA, POLITICA DE CANJE, DEVOLUCIONES Y NORMA GMP	

","Comprimido","LABORATORIO CHILE S.A.","Aceptada","353000","Peso Chileno","5.9","2082700","0","0","2020-01-30","No Seleccionada",782.394347826087,0.00754095427247574,0,2661.95685818394,"Servicio de Salud"
"25","8631614","Licitación Pública Mayor a 5000 (LR)","8","COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO","Región Metropolitana de Santiago","CLP","2019-12-19","2020-01-03","2020-02-24","Complejo Asistencial Sótero del Río","50-214-700-004-00	GLIBENCLAMIDA 5MG
","22100219 GLIBENCLAMIDA COM 5 MG - CAJA X 1000 COM - BIOEQUIVALENTE., CAJA X 1000, REGISTRO ISP F-2414/19, FECHA DE VENCIMIENTO 31-08-2022, DESPACHO EN 24 HRS; SE ADJUNTA CARTA DE CANJE","Comprimido","LABORATORIOS ANDROMACO S.A.","Aceptada","1","Peso Chileno","6","6","1","6","2020-01-31","Seleccionada",797.137,0.00752693702588137,0.00752693702588137,0.00752693702588137,NA
"26","8631614","Licitación Pública Mayor a 5000 (LR)","8","COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO","Región Metropolitana de Santiago","CLP","2019-12-19","2020-01-03","2020-02-24","Complejo Asistencial Sótero del Río","50-214-700-004-00	GLIBENCLAMIDA 5MG
","GLIBENCLAMIDA 5 MG CM. CAJAX1000. LAB ANDROMACO. REG ISP F-2414-19. VENCE 28-02-2022. BIOEQUIVALENTE. 
","Comprimido","WINPHARM","Aceptada","1","Peso Chileno","7","7","1","7","2020-01-31","Seleccionada",797.137,0.00878142653019493,0.00878142653019493,0.00878142653019493,NA
"27","8631614","Licitación Pública Mayor a 5000 (LR)","8","COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO","Región Metropolitana de Santiago","CLP","2019-12-19","2020-01-03","2020-02-24","Complejo Asistencial Sótero del Río","50-214-700-004-00	GLIBENCLAMIDA 5MG
","120-10-12041 GLIBENCLAMIDA 5MG 60C, venc: Jan22, Se adjunta documentacion técnica, certificado de farmavigilancia, politica de canje, devoluciones y norma GMP.","Comprimido","LABORATORIO CHILE S.A.","Aceptada","1","Peso Chileno","7","7","0","0","2020-02-03","No Seleccionada",797.137,0.00878142653019493,0,0.00878142653019493,NA
"28","8634384","Licitación Pública Mayor 1000 UTM (LP)","9","SERVICIO DE SALUD SUR HOSPITAL LUCIO CORDOVA","Región Metropolitana de Santiago","CLP","2019-12-30","2020-01-03","2020-04-14","Presupuesto del Hospital Dr. Lucio Córdova","ITEM N° 46 GLIBENCLAMIDA 5MG; SEGÚN ESPECIFICACIONES TÉCNICAS.","GLBN0005COMP. BEGLIBENCLAMIDA 5MG X 1000 COMP.. MINTLAB. GLIBENCLAMIDA. REG ISP F-9896 - VTO SUPERIOR A 18 MESES.
Entrega en 23 horas. Se adjunta ISP, CANJE y anexos técnicos. Validez de la oferta 120 días. Sin costo por flete.
","Comprimido","ETHON PHARMACEUTICALS SPA.","Aceptada","500","Peso Chileno","8","4000","0","0","2020-01-10","No Seleccionada",852.250454545455,0.00938691197796635,0,4.69345598898318,"Servicio de Salud"
"29","8634384","Licitación Pública Mayor 1000 UTM (LP)","9","SERVICIO DE SALUD SUR HOSPITAL LUCIO CORDOVA","Región Metropolitana de Santiago","CLP","2019-12-30","2020-01-03","2020-04-14","Presupuesto del Hospital Dr. Lucio Córdova","ITEM N° 46 GLIBENCLAMIDA 5MG; SEGÚN ESPECIFICACIONES TÉCNICAS.","22100219 GLIBENCLAMIDA COM 5 MG - CAJA X 1000 COM - BIOEQUIVALENTE., CAJA X 1000, REGISTRO ISP F-2414/19, FECHA DE VENCIMIENTO 30-06-2022, DESPACHO EN 24 HRS","Comprimido","LABORATORIOS ANDROMACO S.A.","Aceptada","500","Peso Chileno","6.2","3100","500","3100","2020-01-13","Seleccionada",852.250454545455,0.00727485678292392,3.63742839146196,3.63742839146196,"Servicio de Salud"
"30","8634384","Licitación Pública Mayor 1000 UTM (LP)","9","SERVICIO DE SALUD SUR HOSPITAL LUCIO CORDOVA","Región Metropolitana de Santiago","CLP","2019-12-30","2020-01-03","2020-04-14","Presupuesto del Hospital Dr. Lucio Córdova","ITEM N° 46 GLIBENCLAMIDA 5MG; SEGÚN ESPECIFICACIONES TÉCNICAS.","GLIBENCLAMIDA 5MG BE®, GLIBENCLAMIDA, CAJA x 1000 CM, ANDROMACO, Reg.ISP: F-2414, Vence: 2021-11-30. ENTREGA EN  24 HRS","Comprimido","Medikar Ltda","Rechazada","500","Peso Chileno","8.55","4275","0","0","2020-01-08","No Seleccionada",852.250454545455,0.0100322621764515,0,5.01613108822577,"Servicio de Salud"
"31","8634384","Licitación Pública Mayor 1000 UTM (LP)","9","SERVICIO DE SALUD SUR HOSPITAL LUCIO CORDOVA","Región Metropolitana de Santiago","CLP","2019-12-30","2020-01-03","2020-04-14","Presupuesto del Hospital Dr. Lucio Córdova","ITEM N° 46 GLIBENCLAMIDA 5MG; SEGÚN ESPECIFICACIONES TÉCNICAS.","GLIBENCLAMIDA 5 MG CM. CAJAX1000. LAB ANDROMACO. REG ISP F-2414-19. VENCE 28-02-2022. BIOEQUIVALENTE. ENTREGA EN 1 DÍA. SE ADJUNTAN FICHAS TÉCNICAS E INFORMACIÓN CORPORATIVA.","Comprimido","WINPHARM","Aceptada","500","Peso Chileno","7","3500","0","0","2020-01-13","No Seleccionada",852.250454545455,0.00821354798072056,0,4.10677399036028,"Servicio de Salud"
"32","8634466","Licitación Pública entre a 2000 y 5000 UTM (LQ)","8","SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA","Región del Maule","CLP","2019-12-31","2020-01-13","2020-03-03","Propio","GLIBENCLAMIDA 5 MG (COD INT.40400170023)","120-10-12041	GLIBENCLAMIDA 5MG 60C
Vcto Ene 22
Producto Bioequivalente
Reg ISP F-3947-15","Comprimido","LABORATORIO CHILE S.A.","Aceptada","1","Peso Chileno","7","7","1","7","2020-02-03","Seleccionada",840.868636363636,0.00832472481108551,0.00832472481108551,0.00832472481108551,"Servicio de Salud"
"33","8634466","Licitación Pública entre a 2000 y 5000 UTM (LQ)","8","SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA","Región del Maule","CLP","2019-12-31","2020-01-13","2020-03-03","Propio","GLIBENCLAMIDA 5 MG (COD INT.40400170023)","GLBN0005COMP. BE GLIBENCLAMIDA 5MG X 1005 COMP.. MINTLAB. GLIBENCLAMIDA. REG ISP F-9896 - VTO 2-2023 - LOTE 90377
Entrega en 24 horas. Se adjunta ISP, CANJE y anexos técnicos. Validez de la oferta 60 días. Sin costo por flete. Monto mínimo de despacho 50","Comprimido","ETHON PHARMACEUTICALS SPA.","Aceptada","1","Peso Chileno","8.2","8.2","0","0","2020-01-30","No Seleccionada",840.868636363636,0.00975182049298588,0,0.00975182049298588,"Servicio de Salud"
"34","8634466","Licitación Pública entre a 2000 y 5000 UTM (LQ)","8","SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA","Región del Maule","CLP","2019-12-31","2020-01-13","2020-03-03","Propio","GLIBENCLAMIDA 5 MG (COD INT.40400170023)","GLIBENCLAMIDA 5 MG CM. CAJAX1000. LAB ANDROMACO. REG ISP F-2414-19. VENCE 30-11-2021. BIOEQUIVALENTE. ENTREGA EN 2 DÍAS. SE ADJUNTAN FICHAS TÉCNICAS E INFORMACIÓN CORPORATIVA.","Comprimido","WINPHARM","Aceptada","1","Peso Chileno","7","7","0","0","2020-01-31","No Seleccionada",840.868636363636,0.00832472481108551,0,0.00832472481108551,"Servicio de Salud"
"35","8634657","Licitación Pública Entre 100 y 1000 UTM (LE)","8","I MUNICIPALIDAD DE NACIMIENTO","Región del Biobío","CLP","2020-01-02","2020-01-06","2020-02-07","Presupuesto Disponible","METFORMINA 500 MG; GLIBENCLAMIDA 2,5 MG. COMPRMIDOS RECUBIERTOS. ENVASE SELLADO, RESISTENTE E INADULTERADO. SIMILAR A GLUCOVANCE","MER0070 GLUCOVANCE 500MG2,5MG X30 COMP Entrega 24-48 HR METFORMINA+GLIBENCLAMIDA F-9764 MERCK  VENC. 30-06-2021","Comprimido","Caribean Pharma Ltda","Aceptada","450","Peso Chileno","277","124650","0","0","2020-01-15","No Seleccionada",797.137,0.347493592694857,0,156.372116712686,"Municipalidad"
"36","8634657","Licitación Pública Entre 100 y 1000 UTM (LE)","8","I MUNICIPALIDAD DE NACIMIENTO","Región del Biobío","CLP","2020-01-02","2020-01-06","2020-02-07","Presupuesto Disponible","METFORMINA 500 MG; GLIBENCLAMIDA 2,5 MG. COMPRMIDOS RECUBIERTOS. ENVASE SELLADO, RESISTENTE E INADULTERADO. SIMILAR A GLUCOVANCE","SB2017830 - GLUCOVANCE 5002,5 X30COM.REC., GLIBENCLAMIDA  METFORMINA 2.5mg - 500mg COMPRIMIDOS. ISP: F-976411. Fabricante: MERCK SA CHILE. Vencimiento mayor a 12 meses. Valor cotizado por COMPRIMIDOS. Unidad mínima de venta CAJA X 30 COMPRIMIDOS. Mínimo d","Comprimido","Distribuidora Salcobrand","Aceptada","450","Peso Chileno","249","112050","0","0","2020-01-14","No Seleccionada",797.137,0.312367886574077,0,140.565548958335,"Municipalidad"
